Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,0.00747681,0.562744,0.331116,-0.0521851,0.0167847,0.0192261,-0.0421143,0.234528,0.0761414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,-0.0109863,0.770721,0.311432,-0.058136,0.0140381,0.0392151,-0.0332642,0.315399,0.0628662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,-0.0218201,0.855103,0.301056,-0.042572,-0.00457764,0.00259399,-0.040741,0.381927,0.0808716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,-0.0247192,0.978241,0.296936,-0.0613403,-0.0050354,-0.00564575,-0.0212097,0.378113,0.0337219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,-0.0337219,1.04935,0.22171,-0.085144,0.0474548,-0.0117493,-0.0526428,0.411377,0.0334167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,-0.017395,1.13037,0.244904,-0.0259399,-0.0131226,-0.0234985,-0.0309753,0.397644,-0.0311279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,0.0190735,1.26434,0.196686,0.0520325,0.00579834,-0.0131226,-0.0819397,0.381927,-0.0402832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,0.0253296,1.483,0.190735,0.0897217,0.00915527,-0.0224304,-0.0772095,0.301819,-0.0952148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,0.0527954,1.71951,0.158691,-0.0167847,0.0111389,-0.00366211,-0.0793457,0.28595,-0.092926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.0302124,2.03156,0.159149,0.00442505,0.0128174,-0.0038147,-0.0387573,0.233612,-0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.0300598,2.38281,0.132446,-0.0978088,-0.00259399,0.0151062,-0.00579834,0.132904,-0.126038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.0653076,2.68295,0.13382,-0.164032,0.0354004,-0.0149536,-0.0387573,0.114288,-0.0914001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.0698853,3.0159,0.124359,-0.0794983,-0.00656128,-0.0160217,-0.0216675,0.000610352,-0.0970459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.0444031,3.16498,0.101471,-0.0924683,0.015564,0.0012207,-0.0767517,-0.0128174,-0.0604248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.00656128,3.20221,0.103149,-0.254822,-0.0247192,0.0358582,-0.0984192,-0.115967,-0.112152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.00350952,3.02338,0.0389099,-0.280304,0.0205994,0.0537109,-0.103302,-0.139313,-0.0590515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,-0.0344849,2.64282,0.0163269,-0.0280762,0.0193787,-0.00152588,-0.0874329,-0.163116,-0.04776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0.0315857,2.20749,0.010376,0.312653,0.0286865,0.000762939,-0.0973511,-0.148468,-0.0515747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,-0.000915527,1.77368,-0.050354,0.344238,0.017395,-0.0111389,-0.140076,-0.171356,-0.00839233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,0.0166321,1.55045,-0.0991821,0.299225,0.00946045,0.0434875,-0.0953674,-0.229187,-0.00671387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,0.0245667,1.47873,-0.16861,0.14801,0.0582886,0.0222778,-0.123138,-0.226288,0.0302124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,-0.00854492,1.52603,-0.201874,0.0230408,0.0250244,0.0405884,-0.115967,-0.267944,0.000915527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,0.0498962,1.51443,-0.302887,0.0935364,0.0198364,0.0227356,-0.113525,-0.26062,0.0338745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,0.00640869,1.50314,-0.346222,0.124359,0.00183105,0.017395,-0.0958252,-0.283813,0.0230408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,-0.000305176,1.38123,-0.379181,0.105743,0.00869751,0.0164795,-0.0843811,-0.280762,0.0642395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,-0.0157166,1.18713,-0.387878,-0.0140381,-0.012207,-0.0184631,-0.0547791,-0.287018,0.0527954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,-0.0134277,0.988312,-0.431976,-0.019989,0.0350952,0.0379944,-0.032959,-0.267944,0.0639343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,-0.0263977,0.71106,-0.424347,0.0737,0.020752,0.0196838,0.0109863,-0.235291,0.0628662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
